instance_id,text,tokens,tags
1361,Ich habe auf einer COVID Station gearbeitet und kenne sehr viele die gestorben sind,"['Ich', 'habe', 'auf', 'einer', 'CO', '##VI', '##D', 'Station', 'gearbeitet', 'und', 'kenne', 'sehr', 'viele', 'die', 'gestorben', 'sind']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'O', 'O']"
125,Hamas wird wie immer die Feuerpause brechen. Die wollen keinen Frieden.,"['Ham', '##as', 'wird', 'wie', 'immer', 'die', 'Feuer', '##pause', 'brechen', '.', 'Die', 'wollen', 'keinen', 'Frieden', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'B-negative', 'B-negative', 'O', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'O']"
1365,"Gerade habe ich eine neue Mitarbeiterin eingestellt.

Auf meine Frage, warum sie gerne bei mir arbeiten würde, hat sie gesagt, dass sie gehört hätte, dass ich während Corona keinerlei Impfdruck auf die Mitarbeiter ausgeübt hätte, deshalb wäre meine Firma für sie, als impfstofffreie Frau, die erste Wahl gewesen. 

Win Win Situation. Sie passt perfekt ins Team.
Willkommen Andrea.","['Gerade', 'habe', 'ich', 'eine', 'neue', 'Mitarbeiterin', 'eingestellt', '.', 'Auf', 'meine', 'Frage', ',', 'warum', 'sie', 'gerne', 'bei', 'mir', 'arbeiten', 'würde', ',', 'hat', 'sie', 'gesagt', ',', 'dass', 'sie', 'gehört', 'hätte', ',', 'dass', 'ich', 'während', 'Cor', '##ona', 'keinerlei', 'Impf', '##druck', 'auf', 'die', 'Mitarbeiter', 'ausgeübt', 'hätte', ',', 'deshalb', 'wäre', 'meine', 'Firma', 'für', 'sie', ',', 'als', 'im', '##pf', '##stoff', '##freie', 'Frau', ',', 'die', 'erste', 'Wahl', 'gewesen', '.', 'Win', 'Win', 'Situation', '.', 'Sie', 'passt', 'perfekt', 'ins', 'Team', '.', 'Will', '##kommen', 'Andrea', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-positive', 'B-positive', 'B-positive', 'B-positive', 'B-positive', 'B-positive', 'B-positive', 'B-positive', 'B-positive', 'B-positive', 'B-positive', 'B-positive', 'B-positive', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-positive', 'B-positive', 'B-positive', 'O', 'O', 'O', 'B-positive', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1062,"gegen russische und westliche kriegstreiberei, wir wollen nicht für euer ego sterben.","['gegen', 'russische', 'und', 'westliche', 'krie', '##gst', '##reiber', '##ei', ',', 'wir', 'wollen', 'nicht', 'für', 'e', '##uer', 'e', '##go', 'sterben', '.']","['O', 'O', 'O', 'O', 'O', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'O', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'O']"
185,"Für alle, die meinen, in Deutschland darf man nichts mehr sagen. So sieht das aus, wenn diese Aussage der Wahrheit entspricht","['Für', 'alle', ',', 'die', 'meinen', ',', 'in', 'Deutschland', 'darf', 'man', 'nichts', 'mehr', 'sagen', '.', 'So', 'sieht', 'das', 'aus', ',', 'wenn', 'diese', 'Aussage', 'der', 'Wahrheit', 'entspricht']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-positive', 'B-positive', 'B-positive', 'B-positive', 'B-positive', 'B-positive', 'B-positive', 'B-positive', 'B-positive', 'B-positive', 'B-positive', 'O']"
614,"So sieht das übrigens aus, wenn's in einem Staat keine Meinungsfreiheit gibt und man ""ja gar nichts mehr sagen darf!"".","['So', 'sieht', 'das', 'übrigens', 'aus', ',', 'wenn', ""'"", 's', 'in', 'einem', 'Staat', 'keine', 'Meinungs', '##freiheit', 'gibt', 'und', 'man', '""', 'ja', 'gar', 'nichts', 'mehr', 'sagen', 'darf', '!', '""', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'B-negative', 'B-negative', 'O', 'O', 'O', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'O']"
1237,die pandemie mag zu ende sein. viele geimpfte stecken weiter in ihren impfschäden. 🙁,"['die', 'pa', '##nde', '##mie', 'mag', 'zu', 'end', '##e', 'sein', '.', 'viele', 'ge', '##impf', '##te', 'stecken', 'weiter', 'in', 'ihren', 'im', '##pf', '##schäden', '.', '[UNK]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'O', 'B-negative', 'O']"
999,"Ich bin seit über 3 Jahren an #Longcovid erkrankt. Erwerbsminderungsrente mit 31. Es gibt keine offiziellen Therapine. Die Gelder für Grundlagen & Therapieforschung seitens des 
@fdpbt
 geführten 
@BMBF_Bund
 unter 
@starkwatzinger
 sind viel zu wenig. Ich will wieder leben & arbeiten.","['Ich', 'bin', 'seit', 'über', '3', 'Jahren', 'an', '#', 'Long', '##co', '##vid', 'erkrankt', '.', 'Erwerbsm', '##inderung', '##s', '##rente', 'mit', '31', '.', 'Es', 'gibt', 'keine', 'offiziellen', 'Ther', '##ap', '##ine', '.', 'Die', 'Gelder', 'für', 'Grundlagen', '&', 'Therapie', '##forschung', 'seitens', 'des', '@', 'f', '##d', '##p', '##bt', 'geführten', '@', 'BM', '##B', '##F', '_', 'Bund', 'unter', '@', 'stark', '##wa', '##tz', '##inger', 'sind', 'viel', 'zu', 'wenig', '.', 'Ich', 'will', 'wieder', 'leben', '&', 'arbeiten', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'B-negative', 'B-negative', 'O', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'O']"
195,"Auf die Frage an Präsident Biden, ob die Beschüsse auf Huthis erfolgreich wären: nein. Aber sie werden weitergehen.
Sinnvoll ist was anderes.","['Auf', 'die', 'Frage', 'an', 'Präsident', 'Bi', '##den', ',', 'ob', 'die', 'Besch', '##üsse', 'auf', 'Hut', '##hi', '##s', 'erfolgreich', 'wären', ':', 'ne', '##in', '.', 'Aber', 'sie', 'werden', 'weiter', '##gehen', '.', 'Sinn', '##voll', 'ist', 'was', 'anderes', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'B-negative', 'O']"
1411,"Dass 33% der Befragten den Genozid als nicht weit genug bzw. angemessen bewerten, zeigt wie krank die Welt ist.","['Dass', '33', '%', 'der', 'Befragten', 'den', 'Gen', '##ozi', '##d', 'als', 'nicht', 'weit', 'genug', 'bzw', '.', 'angemessen', 'bewerten', ',', 'zeigt', 'wie', 'krank', 'die', 'Welt', 'ist', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'B-negative', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'B-negative', 'B-negative', 'O', 'O', 'O']"
