instance_id,displayed_text,label,label_id
1237,die pandemie mag zu ende sein. viele geimpfte stecken weiter in ihren impfschäden. 🙁,negative,0
210,"Wir sind hier nicht bei 'Wünsch dir was', sondern bei 'So isses' und das gilt auch für den schlechtesten Bundesminister für #Wirtschaft und #Klimaschutz Robert #Habeck 
Keinen Bock mehr...was ist denn das für eine Aussage?",negative,0
494,"Es kann wirklich niemand mehr behaupten, dass man nicht wusste, was man wählt!",neutral,1
123,Da ist der falsche bestraft wurden,negative,0
1470,"Vor 500 Jahren hätte man gesagt, die #AfD sei des Teufels Wiedergänger. Man hätte sie geteert und gefedert, auf einen Holzpfahl gespießt, mit Steinen beschwert und fünf Meter tief vergraben. Nun leben wir in einer Demokratie und müssen sie ertragen. Aber #LautgegenRechts dürfen wir sein!",negative,0
1151,Die Ukrainer halten gerade ihren Kopf für uns und viele andere Länder hin. Die hätten bei Erfolg von Putins Go-West-Aktion dann nämlich richtig Probleme.,positive,2
887,"Die AFD kann offensichtlich Treffen (ich nehme mal an für ein Interview) und Geheimtreffen nicht unterscheiden.
Geheimtreffen heißen per se so, weil von diesen niemand weiß, und sie im Nachgang erst an die Öffentlichkeit getragen werden.
Was sie hier verbreiten, scheint ein so geheimer Termin zu sein, dass sie dieser schon 6 Monate vorab publiziert werden kann...
Lächerlich",negative,0
766,Gar nicht. Das Thema ist und war immer Quatsch udn Gift für Deutschland. Alle Industrienationen der Welt sehen genau das und bauen fossile und atomare Kraftwerke neu - in großer Zahl.,negative,0
32,"Deutschland, der ""Kumpel "", den niemand leiden kann,,der aber immer mitgenommen wird, weil er am Ende für alle zahlt",negative,0
1457,"Israel will die ganze Zeit eine Zweistaatenlösung und Palestina will es nicht. 
Palestina untergräbt sich selbst",negative,0
969,"Das Lavieren mit längst widerlegten Pseudo-Argumenten bestätigt nur, daß #Scholz mit voller Absicht der #Ukraine diese effektive Waffe vorenthält. Er nimmt höhere Opfer in Kauf & stärkt somit wissentlich #Russland. Bedrückend, daß er Parlament also bewusst getäuscht hat. #Taurus",negative,0
979,Israel verhält sich schäbig bei der Nahrungsmittelversorgung Gazas,negative,0
325,"Oliver Welke bekommt fast 1,2 Millionen Euro pro Jahr, zwangsfinanziert von allen, damit er unlustige, belanglose Witze erzählen und Kinder als katastrophale CO2-Bilanz bezeichnen kann.

Dieser nutzlose Selbstbedienungsladen gehört in Grund und Boden privatisiert.",negative,0
